"","session","sender","receiver","sender_dialog","sender_id","sender_gender","receiver_id","receiver_gender"
"4294",2113,"Ashley","Ashley","statement",1,"female",1,"female"
"4295",2113,"Ashley","Oleg","statement",1,"female",4,"male"
"4296",2113,"Oleg","Vika","question",4,"male",5,"female"
"4297",2113,"Vika","Ashley","statement",5,"female",1,"female"
"4298",2113,"Ashley","Saleh","statement",1,"female",3,"male"
"4299",2113,"Saleh","Ashley","question",3,"male",1,"female"
"4300",2113,"Ashley","Vika","statement",1,"female",5,"female"
"4301",2113,"Vika","Ashley","statement",5,"female",1,"female"
"4302",2113,"Ashley","Saleh","floor-grabber",1,"female",3,"male"
"4303",2113,"Saleh","Ashley","statement",3,"male",1,"female"
"4304",2113,"Ashley","Saleh","statement",1,"female",3,"male"
"4305",2113,"Saleh","Will","statement",3,"male",2,"male"
"4306",2113,"Will","Oleg","statement",2,"male",4,"male"
"4307",2113,"Oleg","Will","question",4,"male",2,"male"
"4308",2113,"Will","Saleh","question",2,"male",3,"male"
"4309",2113,"Saleh","Ashley","statement",3,"male",1,"female"
"4310",2113,"Ashley","Will","statement",1,"female",2,"male"
"4311",2113,"Will","Oleg","statement",2,"male",4,"male"
"4312",2113,"Oleg","Will","statement",4,"male",2,"male"
"4313",2113,"Will","Oleg","statement",2,"male",4,"male"
"4314",2113,"Oleg","Vika","statement",4,"male",5,"female"
"4315",2113,"Vika","Ashley","statement",5,"female",1,"female"
"4316",2113,"Ashley","Will","statement",1,"female",2,"male"
"4317",2113,"Will","Oleg","question",2,"male",4,"male"
"4318",2113,"Oleg","Oleg","disruption",4,"male",4,"male"
"4319",2113,"Oleg","Ashley","floor-grabber",4,"male",1,"female"
"4320",2113,"Ashley","Will","statement",1,"female",2,"male"
"4321",2113,"Will","Saleh","statement",2,"male",3,"male"
"4322",2113,"Saleh","Oleg","statement",3,"male",4,"male"
"4323",2113,"Oleg","Will","statement",4,"male",2,"male"
"4324",2113,"Will","Saleh","statement",2,"male",3,"male"
"4325",2113,"Saleh","Will","question",3,"male",2,"male"
"4326",2113,"Will","Ashley","statement",2,"male",1,"female"
"4327",2113,"Ashley","Saleh","question",1,"female",3,"male"
"4328",2113,"Saleh","Ashley","statement",3,"male",1,"female"
"4329",2113,"Ashley","Will","statement",1,"female",2,"male"
