"","sid","rid","time"
"1095",9,2,42130
"1096",1,20,42160
"1097",12,2,42180
"1098",1,20,42190
"1099",2,9,42280
"1100",9,1,42290
"1101",17,6,42291
"1102",9,1,42300
"1103",8,10,42350
"1104",14,13,42360
"1105",1,9,42380
"1106",9,2,42381
"1107",9,2,42400
"1108",1,9,42460
"1109",2,9,42490
"1110",20,1,42500
"1111",5,6,42520
"1112",2,9,42521
"1113",20,1,42540
"1114",1,20,42560
"1115",5,6,42561
"1116",17,7,42600
"1117",10,8,42650
"1118",9,8,42660
"1119",13,8,42661
"1120",18,6,42690
"1121",7,17,42710
"1122",18,6,42730
"1123",10,8,42740
"1124",8,9,42810
"1125",6,17,42820
"1126",17,18,42850
"1127",14,8,42860
"1128",10,9,42870
"1129",10,9,42900
"1130",9,8,42920
"1131",1,10,43120
"1132",6,18,48680
